Plant,Source,Parameter,Units,TimeStamp,Value,Description
Lake,LAKE-1,GFLOW_BT,100SCFH,1/1/2022 0:00,15746.90239,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/2/2022 0:00,81598.06129,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/3/2022 0:00,64070.20317,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/4/2022 0:00,8186.741053,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/5/2022 0:00,33623.54858,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/15/2022 0:00,217.332734,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/17/2022 0:00,36893.19283,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/18/2022 0:00,38681.19665,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/19/2022 0:00,106958.1623,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/20/2022 0:00,39795.04478,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/24/2022 0:00,47233.84224,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/25/2022 0:00,91952.51903,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/26/2022 0:00,39568.21433,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/27/2022 0:00,41302.09041,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/29/2022 0:00,35201.16978,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/30/2022 0:00,47561.79606,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/31/2022 0:00,164517.5017,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/1/2022 0:00,99981.40316,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/2/2022 0:00,164744.9686,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/3/2022 0:00,150111.0189,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/4/2022 0:00,100457.3753,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/5/2022 0:00,153492.4206,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/6/2022 0:00,122648.1296,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/7/2022 0:00,121150.3854,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/8/2022 0:00,127959.8049,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/9/2022 0:00,148747.4729,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/10/2022 0:00,143137.5885,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/11/2022 0:00,148919.9489,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/12/2022 0:00,159364.8892,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/13/2022 0:00,117654.3152,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/14/2022 0:00,101789.9896,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/15/2022 0:00,131651.9401,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/16/2022 0:00,64945.19429,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/17/2022 0:00,81179.4772,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/18/2022 0:00,64810.33911,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/19/2022 0:00,60846.8751,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/20/2022 0:00,36334.01841,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/21/2022 0:00,45278.40378,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/22/2022 0:00,55628.48139,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/23/2022 0:00,54661.96889,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/24/2022 0:00,92436.37776,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/25/2022 0:00,143856.5401,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/26/2022 0:00,103343.3823,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/27/2022 0:00,60890.74296,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/28/2022 0:00,5253.433097,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/28/2022 0:00,1392.291745,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/5/2022 0:00,33681.83625,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/10/2022 0:00,59445.52105,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/11/2022 0:00,46816.7167,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/12/2022 0:00,40239.91151,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/18/2022 0:00,72075.59391,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/19/2022 0:00,74963.91574,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/20/2022 0:00,61585.18143,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/21/2022 0:00,43220.70325,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/22/2022 0:00,51127.56353,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/24/2022 0:00,45505.96322,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/26/2022 0:00,32950.76607,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/27/2022 0:00,74882.87496,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/29/2022 0:00,61627.52633,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,4/30/2022 0:00,106712.8833,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,5/1/2022 0:00,19375.99501,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/1/2022 0:00,27683.48707,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/2/2022 0:00,52011.12545,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/3/2022 0:00,63885.1274,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/4/2022 0:00,59668.89287,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/5/2022 0:00,53072.85471,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/6/2022 0:00,42574.35245,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/7/2022 0:00,93003.75079,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/8/2022 0:00,80621.44418,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/9/2022 0:00,77063.35637,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/10/2022 0:00,93328.28353,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/11/2022 0:00,78584.14405,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/12/2022 0:00,94892.71969,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/13/2022 0:00,112348.6912,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/14/2022 0:00,19967.18805,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/15/2022 0:00,92504.53738,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/16/2022 0:00,71346.06482,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/17/2022 0:00,63277.97942,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/18/2022 0:00,83178.95629,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/19/2022 0:00,70158.52577,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/24/2022 0:00,84789.49012,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/25/2022 0:00,34411.05029,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/26/2022 0:00,59251.66343,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/28/2022 0:00,47077.11255,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/29/2022 0:00,37996.86203,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,6/30/2022 0:00,59853.00579,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/1/2022 0:00,53666.29284,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/3/2022 0:00,23484.32605,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/4/2022 0:00,27879.9653,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/5/2022 0:00,22105.57589,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/6/2022 0:00,80711.96856,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/7/2022 0:00,92629.73315,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/8/2022 0:00,73518.80379,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/9/2022 0:00,79526.26915,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/10/2022 0:00,88775.88648,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/11/2022 0:00,78372.84717,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/12/2022 0:00,60178.38904,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/14/2022 0:00,86019.85401,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/15/2022 0:00,98522.15999,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/16/2022 0:00,110506.4977,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/17/2022 0:00,106898.221,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/18/2022 0:00,74324.541,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/19/2022 0:00,51523.87952,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/20/2022 0:00,64889.20494,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/21/2022 0:00,65082.15883,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/22/2022 0:00,71502.38019,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/23/2022 0:00,67418.6271,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/25/2022 0:00,54275.9165,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/26/2022 0:00,15688.17839,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/28/2022 0:00,79500.04459,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/29/2022 0:00,70245.98739,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/30/2022 0:00,72677.8954,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,7/31/2022 0:00,59723.69399,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/1/2022 0:00,74519.2006,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/2/2022 0:00,90347.99023,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/3/2022 0:00,128430.4876,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/4/2022 0:00,32409.54519,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/5/2022 0:00,67768.40706,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/6/2022 0:00,84412.65456,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/7/2022 0:00,37607.05351,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/8/2022 0:00,89566.95636,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/9/2022 0:00,83178.28387,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/10/2022 0:00,46694.2535,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/14/2022 0:00,43488.50419,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/15/2022 0:00,71854.53345,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/16/2022 0:00,98440.08507,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/17/2022 0:00,75289.25074,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/18/2022 0:00,46580.72484,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/19/2022 0:00,33212.35521,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/20/2022 0:00,44137.47432,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/21/2022 0:00,15057.05347,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/22/2022 0:00,93092.95984,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/24/2022 0:00,68736.60813,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/25/2022 0:00,91089.11363,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/26/2022 0:00,104858.3213,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/27/2022 0:00,102930.4602,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/28/2022 0:00,91778.73322,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/29/2022 0:00,68988.41918,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,8/31/2022 0:00,51068.15188,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/1/2022 0:00,92305.04755,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/2/2022 0:00,96764.44146,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/3/2022 0:00,107747.1789,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/4/2022 0:00,98647.51021,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/5/2022 0:00,86952.95151,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/6/2022 0:00,108130.3815,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/7/2022 0:00,29796.07807,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/24/2022 0:00,2408.478994,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/27/2022 0:00,47428.95966,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,9/28/2022 0:00,93656.96294,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/4/2022 0:00,87092.46177,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/5/2022 0:00,4277.026708,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/7/2022 0:00,35583.7899,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/12/2022 0:00,46299.41276,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/14/2022 0:00,3928.81719,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/18/2022 0:00,69768.42867,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/19/2022 0:00,2014.6468,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/22/2022 0:00,31545.82467,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/26/2022 0:00,462.91075,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/2/2022 0:00,67442.88799,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/4/2022 0:00,29914.15659,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/5/2022 0:00,39093.72714,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/6/2022 0:00,107919.093,GFLOW Block Total
